           table            | has_ws | rls | force_rls | policies 
----------------------------+--------+-----+-----------+----------
 activities                 |      1 | t   | t         |        1
 ai_act_register            |      1 | t   | t         |        1
 analytics_attribution      |      1 | t   | t         |        1
 analytics_cohorts          |      1 | t   | t         |        1
 analytics_daily_rollups    |      1 | t   | t         |        1
 analytics_funnels          |      1 | t   | t         |        1
 analytics_kpis             |      1 | t   | t         |        1
 audience_members           |      1 | t   | t         |        1
 business_events            |      1 | t   | t         |        1
 campaigns                  |      1 | t   | t         |        1
 candidate_tag              |      1 | t   | t         |        1
 candidates                 |      1 | t   | t         |        1
 companies                  |      1 | t   | t         |        1
 company_tag                |      1 | t   | t         |        1
 contacts                   |      1 | t   | t         |        1
 coverage_zones             |      1 | t   | t         |        1
 crm_lost_reasons           |      1 | t   | t         |        1
 crm_notes                  |      1 | t   | t         |        1
 crm_pipelines              |      1 | t   | t         |        1
 crm_tasks                  |      1 | t   | t         |        1
 deals                      |      1 | t   | t         |        1
 dnc_lists                  |      1 | t   | t         |        1
 duplicate_flags            |      1 | t   | t         |        1
 email_audiences            |      1 | t   | t         |        1
 email_events               |      1 | t   | t         |        1
 email_inboxes              |      1 | t   | t         |        1
 email_sends                |      1 | t   | t         |        1
 email_templates            |      1 | t   | t         |        1
 email_threads              |      1 | t   | t         |        1
 email_verification_logs    |      1 | t   | t         |        2
 email_warmup_pools         |      1 | t   | t         |        1
 health_practitioners       |      1 | t   | t         |        1
 invitations                |      1 | t   | t         |        1
 journalists                |      1 | t   | t         |        1
 linkedin_accounts          |      1 | t   | t         |        1
 linkedin_invitations       |      1 | t   | t         |        1
 linkedin_messages          |      1 | t   | t         |        1
 linkedin_profiles_cache    |      1 | t   | t         |        1
 linkedin_sequences         |      1 | t   | t         |        1
 llm_usage                  |      1 | t   | t         |        1
 llm_use_cases              |      1 | t   | t         |        1
 media                      |      1 | t   | t         |        1
 notifications              |      1 | t   | t         |        1
 pipeline_stages            |      1 | t   | t         |        1
 proxy_providers_config     |      1 | t   | t         |        1
 proxy_usage_log            |      1 | t   | t         |        1
 rgpd_requests              |      1 | t   | t         |        1
 rotations                  |      1 | t   | t         |        1
 saved_views                |      1 | t   | t         |        1
 scraper_runs               |      1 | t   | t         |        1
 scraping_campaigns         |      1 | t   | t         |        1
 strategic_keywords         |      1 | t   | t         |        1
 tags                       |      1 | t   | t         |        1
 unsubscribes               |      1 | t   | t         |        1
 web_vital_samples          |      1 | t   | t         |        1
 audit_logs                 |      1 | f   | f         |        0
 audit_logs_default         |      1 | f   | f         |        0
 sessions                   |      1 | f   | f         |        0
 user_workspaces            |      1 | f   | f         |        0
 analytics_funnel_snapshots |      0 | f   | f         |        0
 axion_offer_targets        |      0 | f   | f         |        0
 cities                     |      0 | f   | f         |        0
 countries                  |      0 | f   | f         |        0
 crm_outbound_events        |      0 | f   | f         |        0
 deal_history               |      0 | f   | f         |        0
 departments                |      0 | f   | f         |        0
 dnc_entries                |      0 | f   | f         |        0
 effectif_ranges            |      0 | f   | f         |        0
 email_messages             |      0 | f   | f         |        0
 email_sequences            |      0 | f   | f         |        0
 email_suppressions         |      0 | f   | f         |        0
 email_validations          |      0 | f   | f         |        0
 legal_forms                |      0 | f   | f         |        0
 linkedin_health_checks     |      0 | f   | f         |        0
 linkedin_sequence_runs     |      0 | f   | f         |        0
 magic_links                |      0 | f   | f         |        0
 migrations                 |      0 | f   | f         |        0
 model_has_permissions      |      0 | f   | f         |        0
 model_has_roles            |      0 | f   | f         |        0
 naf_classes                |      0 | f   | f         |        0
 naf_divisions              |      0 | f   | f         |        0
 naf_groups                 |      0 | f   | f         |        0
 naf_sections               |      0 | f   | f         |        0
 naf_subclasses             |      0 | f   | f         |        0
 opt_out                    |      0 | f   | f         |        0
 part_config                |      0 | f   | f         |        0
 part_config_sub            |      0 | f   | f         |        0
 password_reset_tokens      |      0 | f   | f         |        0
 permissions                |      0 | f   | f         |        0
 personal_access_tokens     |      0 | f   | f         |        0
 prompt_template_versions   |      0 | f   | f         |        0
 prompt_templates           |      0 | f   | f         |        0
 regions                    |      0 | f   | f         |        0
 role_has_permissions       |      0 | f   | f         |        0
 roles                      |      0 | f   | f         |        0
 scraping_sources           |      0 | f   | f         |        0
 search_engines             |      0 | f   | f         |        0
 spatial_ref_sys            |      0 | f   | f         |        0
 user_agents                |      0 | f   | f         |        0
 users                      |      0 | f   | f         |        0
 workspaces                 |      0 | f   | f         |        0
(101 rows)

