             t              | count 
----------------------------+-------
 spatial_ref_sys            |  8500
 audit_logs                 |    80
 tags                       |    59
 migrations                 |    54
 role_has_permissions       |    42
 scraping_sources           |    17
 permissions                |    16
 roles                      |     4
 model_has_roles            |     3
 user_workspaces            |     3
 users                      |     2
 workspaces                 |     2
 llm_use_cases              |     1
 activities                 |     0
 ai_act_register            |     0
 analytics_attribution      |     0
 analytics_cohorts          |     0
 analytics_daily_rollups    |     0
 analytics_funnel_snapshots |     0
 analytics_funnels          |     0
 analytics_kpis             |     0
 audience_members           |     0
 axion_offer_targets        |     0
 business_events            |     0
 campaigns                  |     0
 candidate_tag              |     0
 candidates                 |     0
 cities                     |     0
 companies                  |     0
 company_tag                |     0
 contacts                   |     0
 countries                  |     0
 coverage_zones             |     0
 crm_lost_reasons           |     0
 crm_notes                  |     0
 crm_outbound_events        |     0
 crm_pipelines              |     0
 crm_tasks                  |     0
 deal_history               |     0
 deals                      |     0
 departments                |     0
 dnc_entries                |     0
 dnc_lists                  |     0
 duplicate_flags            |     0
 effectif_ranges            |     0
 email_audiences            |     0
 email_events               |     0
 email_inboxes              |     0
 email_messages             |     0
 email_sends                |     0
 email_sequences            |     0
 email_suppressions         |     0
 email_templates            |     0
 email_threads              |     0
 email_validations          |     0
 email_verification_logs    |     0
 email_warmup_pools         |     0
 health_practitioners       |     0
 invitations                |     0
 journalists                |     0
 legal_forms                |     0
 linkedin_accounts          |     0
 linkedin_health_checks     |     0
 linkedin_invitations       |     0
 linkedin_messages          |     0
 linkedin_profiles_cache    |     0
 linkedin_sequence_runs     |     0
 linkedin_sequences         |     0
 llm_usage                  |     0
 magic_links                |     0
 media                      |     0
 model_has_permissions      |     0
 naf_classes                |     0
 naf_divisions              |     0
 naf_groups                 |     0
 naf_sections               |     0
 naf_subclasses             |     0
 notifications              |     0
 opt_out                    |     0
 part_config                |     0
 part_config_sub            |     0
 password_reset_tokens      |     0
 personal_access_tokens     |     0
 pipeline_stages            |     0
 prompt_template_versions   |     0
 prompt_templates           |     0
 proxy_providers_config     |     0
 proxy_usage_log            |     0
 regions                    |     0
 rgpd_requests              |     0
 rotations                  |     0
 saved_views                |     0
 scraper_runs               |     0
 scraping_campaigns         |     0
 search_engines             |     0
 sessions                   |     0
 strategic_keywords         |     0
 unsubscribes               |     0
 user_agents                |     0
 web_vital_samples          |     0
(100 rows)

