 schemaname |        tablename        |                 policyname                  | permissive |  roles   | cmd |                                                                qual                                                                |                                                           with_check                                                           
------------+-------------------------+---------------------------------------------+------------+----------+-----+------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------------
 public     | activities              | activities_workspace_isolation              | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | ai_act_register         | ai_act_register_workspace_isolation         | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | analytics_attribution   | analytics_attribution_workspace_isolation   | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | analytics_cohorts       | analytics_cohorts_workspace_isolation       | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | analytics_daily_rollups | analytics_daily_rollups_workspace_isolation | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | analytics_funnels       | analytics_funnels_workspace_isolation       | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | analytics_kpis          | analytics_kpis_workspace_isolation          | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | audience_members        | audience_members_workspace_isolation        | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | business_events         | business_events_workspace_isolation         | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | campaigns               | campaigns_workspace_isolation               | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | candidate_tag           | candidate_tag_workspace_isolation           | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | candidates              | candidates_workspace_isolation              | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | companies               | companies_workspace_isolation               | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
 public     | company_tag             | company_tag_workspace_isolation             | PERMISSIVE | {public} | ALL | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))                                 | ((workspace_id)::text = NULLIF(current_setting('app.current_workspace_id'::text, true), ''::text))
