    table     |                conname                |                                                                                                                                                                                                                                                          def                                                                                                                                                                                                                                                          
--------------+---------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 activities   | activities_kind_check                 | CHECK (((kind IS NULL) OR (kind = ANY (ARRAY['form_submission'::text, 'calendly_booked'::text, 'calendly_completed'::text, 'calendly_no_show'::text, 'calendly_canceled'::text, 'review_posted'::text, 'newsletter_optin'::text, 'newsletter_optout'::text, 'application_submitted'::text, 'stage_changed'::text, 'reclassified'::text, 'scraped'::text, 'enriched'::text, 'opt_out'::text, 'gdpr_export'::text, 'gdpr_erasure'::text]))))
 candidates   | candidates_legal_basis_check          | CHECK ((legal_basis = ANY (ARRAY['precontractual'::text, 'consent'::text])))
 candidates   | candidates_lifecycle_stage_check      | CHECK ((lifecycle_stage = ANY (ARRAY['nouveau'::text, 'preselection'::text, 'entretien'::text, 'retenu'::text, 'vivier'::text, 'refuse'::text])))
 candidates   | candidates_relation_type_check        | CHECK ((relation_type = ANY (ARRAY['candidat_commercial'::text, 'candidat_video'::text, 'candidat_tech'::text, 'candidat_autre'::text])))
 companies    | companies_archive_reason_check        | CHECK (((archive_reason IS NULL) OR ((archive_reason)::text = ANY ((ARRAY['entreprise_radiee'::character varying, 'no_email'::character varying, 'low_quality_score'::character varying, 'duplicate'::character varying, 'manual'::character varying])::text[]))))
 companies    | companies_best_email_confidence_check | CHECK ((best_email_confidence = ANY (ARRAY['A'::bpchar, 'B'::bpchar, 'C'::bpchar])))
 companies    | companies_country_code_check          | CHECK ((country_code ~ '^[A-Z]{2}$'::text))
 companies    | companies_entity_nature_check         | CHECK (((entity_nature IS NULL) OR (entity_nature = ANY (ARRAY['entreprise'::text, 'association'::text, 'cci'::text, 'enseignement'::text, 'cabinet'::text, 'institution'::text, 'media'::text]))))
 companies    | companies_identity_anchor_check       | CHECK (((siren IS NOT NULL) OR (foreign_id IS NOT NULL)))
 companies    | companies_legal_basis_check           | CHECK (((legal_basis IS NULL) OR (legal_basis = ANY (ARRAY['legitimate_interest_b2b'::text, 'precontractual'::text, 'consent'::text, 'contract'::text, 'legal_obligation'::text]))))
 companies    | companies_lifecycle_stage_check       | CHECK ((lifecycle_stage = ANY (ARRAY['nouveau'::text, 'qualifie'::text, 'opportunite'::text, 'client'::text, 'dormant'::text, 'perdu'::text])))
 companies    | companies_priority_check              | CHECK ((priority = ANY (ARRAY['haute'::text, 'moyenne'::text, 'basse'::text, 'gelee'::text])))
 companies    | companies_prospection_status_check    | CHECK ((prospection_status = ANY (ARRAY['pending'::text, 'ready_for_outreach'::text, 'partial_email'::text, 'archived_no_email'::text])))
 companies    | companies_quality_score_check         | CHECK (((quality_score >= 0) AND (quality_score <= 100)))
 companies    | companies_relation_type_check         | CHECK ((relation_type = ANY (ARRAY['prospect'::text, 'client'::text, 'presse_media'::text, 'partenaire'::text, 'investisseur'::text, 'conference'::text, 'newsletter'::text, 'fournisseur'::text])))
 contacts     | contacts_email_confidence_check       | CHECK ((email_confidence = ANY (ARRAY['A'::bpchar, 'B'::bpchar, 'C'::bpchar])))
 contacts     | contacts_email_score_check            | CHECK (((email_score >= 0) AND (email_score <= 100)))
 contacts     | contacts_email_status_check           | CHECK ((email_status = ANY (ARRAY['valid'::text, 'invalid'::text, 'catchall'::text, 'unknown'::text, 'disposable'::text, 'role'::text])))
 contacts     | contacts_legal_basis_check            | CHECK (((legal_basis IS NULL) OR (legal_basis = ANY (ARRAY['legitimate_interest_b2b'::text, 'precontractual'::text, 'consent'::text, 'contract'::text, 'legal_obligation'::text]))))
 media        | media_email_confidence_check          | CHECK ((email_confidence = ANY (ARRAY['A'::bpchar, 'B'::bpchar, 'C'::bpchar])))
 media        | media_media_type_check                | CHECK (((media_type)::text = ANY ((ARRAY['presse_quotidien'::character varying, 'presse_hebdo'::character varying, 'presse_mensuel'::character varying, 'presse_journal'::character varying, 'presse_revue'::character varying, 'presse_autre'::character varying, 'radio'::character varying, 'tv'::character varying, 'tv_emission'::character varying, 'agence_presse'::character varying, 'portail_web'::character varying, 'blog'::character varying, 'production_audiovisuelle'::character varying])::text[])))
 scraper_runs | scraper_runs_status_check             | CHECK ((status = ANY (ARRAY['pending'::text, 'running'::text, 'success'::text, 'failed'::text, 'partial'::text, 'cancelled'::text])))
 tags         | tags_category_check                   | CHECK (((category)::text = ANY ((ARRAY['geo'::character varying, 'sector'::character varying, 'size'::character varying, 'intent'::character varying, 'custom'::character varying, 'candidate'::character varying])::text[])))
 tags         | tags_kind_check                       | CHECK (((kind)::text = ANY ((ARRAY['auto'::character varying, 'manual'::character varying, 'llm'::character varying])::text[])))
(24 rows)

