               table               | relkind | rls | force_rls | policies | has_workspace_id 
-----------------------------------+---------+-----+-----------+----------+------------------
 public.activities                 | r       | t   | t         |        1 | t
 public.ai_act_register            | r       | t   | t         |        1 | t
 public.analytics_attribution      | r       | t   | t         |        1 | t
 public.analytics_cohorts          | r       | t   | t         |        1 | t
 public.analytics_daily_rollups    | r       | t   | t         |        1 | t
 public.analytics_funnel_snapshots | r       | f   | f         |        0 | f
 public.analytics_funnels          | r       | t   | t         |        1 | t
 public.analytics_kpis             | r       | t   | t         |        1 | t
 public.audience_members           | r       | t   | t         |        1 | t
 public.audit_logs                 | p       | f   | f         |        0 | t
 public.audit_logs_default         | r       | f   | f         |        0 | t
 public.axion_offer_targets        | r       | f   | f         |        0 | f
 public.business_events            | r       | t   | t         |        1 | t
 public.campaigns                  | r       | t   | t         |        1 | t
 public.candidate_tag              | r       | t   | t         |        1 | t
 public.candidates                 | r       | t   | t         |        1 | t
 public.cities                     | r       | f   | f         |        0 | f
 public.companies                  | r       | t   | t         |        1 | t
 public.company_tag                | r       | t   | t         |        1 | t
 public.contacts                   | r       | t   | t         |        1 | t
 public.countries                  | r       | f   | f         |        0 | f
 public.coverage_zones             | r       | t   | t         |        1 | t
 public.crm_lost_reasons           | r       | t   | t         |        1 | t
 public.crm_notes                  | r       | t   | t         |        1 | t
 public.crm_outbound_events        | r       | f   | f         |        0 | f
 public.crm_pipelines              | r       | t   | t         |        1 | t
 public.crm_tasks                  | r       | t   | t         |        1 | t
 public.deal_history               | r       | f   | f         |        0 | f
 public.deals                      | r       | t   | t         |        1 | t
 public.departments                | r       | f   | f         |        0 | f
 public.dnc_entries                | r       | f   | f         |        0 | f
 public.dnc_lists                  | r       | t   | t         |        1 | t
 public.duplicate_flags            | r       | t   | t         |        1 | t
 public.effectif_ranges            | r       | f   | f         |        0 | f
 public.email_audiences            | r       | t   | t         |        1 | t
 public.email_events               | r       | t   | t         |        1 | t
 public.email_inboxes              | r       | t   | t         |        1 | t
 public.email_messages             | r       | f   | f         |        0 | f
 public.email_sends                | r       | t   | t         |        1 | t
 public.email_sequences            | r       | f   | f         |        0 | f
 public.email_suppressions         | r       | f   | f         |        0 | f
 public.email_templates            | r       | t   | t         |        1 | t
 public.email_threads              | r       | t   | t         |        1 | t
 public.email_validations          | r       | f   | f         |        0 | f
 public.email_verification_logs    | r       | t   | t         |        2 | t
 public.email_warmup_pools         | r       | t   | t         |        1 | t
 public.health_practitioners       | r       | t   | t         |        1 | t
 public.invitations                | r       | t   | t         |        1 | t
 public.journalists                | r       | t   | t         |        1 | t
 public.legal_forms                | r       | f   | f         |        0 | f
 public.linkedin_accounts          | r       | t   | t         |        1 | t
 public.linkedin_health_checks     | r       | f   | f         |        0 | f
 public.linkedin_invitations       | r       | t   | t         |        1 | t
 public.linkedin_messages          | r       | t   | t         |        1 | t
 public.linkedin_profiles_cache    | r       | t   | t         |        1 | t
 public.linkedin_sequence_runs     | r       | f   | f         |        0 | f
 public.linkedin_sequences         | r       | t   | t         |        1 | t
 public.llm_usage                  | r       | t   | t         |        1 | t
 public.llm_use_cases              | r       | t   | t         |        1 | t
 public.magic_links                | r       | f   | f         |        0 | f
 public.media                      | r       | t   | t         |        1 | t
 public.migrations                 | r       | f   | f         |        0 | f
 public.model_has_permissions      | r       | f   | f         |        0 | f
 public.model_has_roles            | r       | f   | f         |        0 | f
 public.naf_classes                | r       | f   | f         |        0 | f
 public.naf_divisions              | r       | f   | f         |        0 | f
 public.naf_groups                 | r       | f   | f         |        0 | f
 public.naf_sections               | r       | f   | f         |        0 | f
 public.naf_subclasses             | r       | f   | f         |        0 | f
 public.notifications              | r       | t   | t         |        1 | t
 public.opt_out                    | r       | f   | f         |        0 | f
 public.part_config                | r       | f   | f         |        0 | f
 public.part_config_sub            | r       | f   | f         |        0 | f
 public.password_reset_tokens      | r       | f   | f         |        0 | f
 public.permissions                | r       | f   | f         |        0 | f
 public.personal_access_tokens     | r       | f   | f         |        0 | f
 public.pipeline_stages            | r       | t   | t         |        1 | t
 public.prompt_template_versions   | r       | f   | f         |        0 | f
 public.prompt_templates           | r       | f   | f         |        0 | f
 public.proxy_providers_config     | r       | t   | t         |        1 | t
 public.proxy_usage_log            | r       | t   | t         |        1 | t
 public.regions                    | r       | f   | f         |        0 | f
 public.rgpd_requests              | r       | t   | t         |        1 | t
 public.role_has_permissions       | r       | f   | f         |        0 | f
 public.roles                      | r       | f   | f         |        0 | f
 public.rotations                  | r       | t   | t         |        1 | t
 public.saved_views                | r       | t   | t         |        1 | t
 public.scraper_runs               | r       | t   | t         |        1 | t
 public.scraping_campaigns         | r       | t   | t         |        1 | t
 public.scraping_sources           | r       | f   | f         |        0 | f
 public.search_engines             | r       | f   | f         |        0 | f
 public.sessions                   | r       | f   | f         |        0 | t
 public.spatial_ref_sys            | r       | f   | f         |        0 | f
 public.strategic_keywords         | r       | t   | t         |        1 | t
 public.tags                       | r       | t   | t         |        1 | t
 public.unsubscribes               | r       | t   | t         |        1 | t
 public.user_agents                | r       | f   | f         |        0 | f
 public.user_workspaces            | r       | f   | f         |        0 | t
 public.users                      | r       | f   | f         |        0 | f
 public.web_vital_samples          | r       | t   | t         |        1 | t
 public.workspaces                 | r       | f   | f         |        0 | f
(101 rows)

