ecran                  | clair tot/ser | contraste | cible | sombre tot/ser | contraste | cible
login                  |   1   1 |   0 |  1 |   1   1 |   0 |  1
2fa                    |   0   0 |   0 |  0 |   0   0 |   0 |  0
magic-link             |   0   0 |   0 |  0 |   0   0 |   0 |  0
password-reset         |   0   0 |   0 |  0 |   0   0 |   0 |  0
dashboard              |   2   2 |   1 |  1 |   4   4 |   3 |  1
companies              |   1   1 |   0 |  1 |   3   3 |   2 |  1
companies-$id          |   1   1 |   0 |  1 |   3   3 |   2 |  1
contacts               |   1   1 |   0 |  1 |   3   3 |   2 |  1
roumanie               |   1   1 |   0 |  1 |   3   3 |   2 |  1
media                  |   1   1 |   0 |  1 |   4   4 |   3 |  1
media-$id              |   1   1 |   0 |  1 |   0   0 |   0 |  0
journalists            |   1   1 |   0 |  1 |   4   4 |   3 |  1
coverage               |   1   1 |   0 |  1 |   7   7 |   6 |  1
scraper-runs           |   2   2 |   1 |  1 |   3   3 |   2 |  1
llm-router             |   1   1 |   0 |  1 |   3   3 |   2 |  1
llm-proxy-providers    |   1   1 |   0 |  1 |   3   3 |   2 |  1
llm-rotations          |   1   1 |   0 |  1 |   3   3 |   2 |  1
rgpd-requests          |   1   1 |   0 |  1 |   3   3 |   2 |  1
rgpd-ai-act            |   1   1 |   0 |  1 |   3   3 |   2 |  1
audit-logs             |   1   1 |   0 |  1 |   3   3 |   2 |  1
users                  |   1   1 |   0 |  1 |   3   3 |   2 |  1
settings               |   1   1 |   0 |  1 |   4   4 |   3 |  1
campaigns              |   2   2 |   1 |  1 |   3   3 |   2 |  1
campaigns-new          |   1   1 |   0 |  1 |   3   3 |   2 |  1
campaigns-$id          |   1   1 |   0 |  1 |   3   3 |   2 |  1
tags                   |   1   1 |   0 |  1 |   3   3 |   2 |  1
audiences              |   1   1 |   0 |  1 |   3   3 |   2 |  1
audiences-new          |  53  53 |  52 |  1 |   5   5 |   4 |  1
audiences-$id          |   1   1 |   0 |  1 |   3   3 |   2 |  1
admin-observability    |   1   1 |   0 |  1 |   3   3 |   2 |  1
console-contacts       |   1   1 |   0 |  1 |   4   4 |   3 |  1
console-vivier         |   1   1 |   0 |  1 |   4   4 |   3 |  1
console-arbitrage      |   1   1 |   0 |  1 |   4   4 |   3 |  1
console-personnes-$k   |   1   1 |   0 |  1 |   4   4 |   3 |  1
cold-email             |   1   1 |   0 |  1 |   3   3 |   2 |  1
linkedin               |   1   1 |   0 |  1 |   3   3 |   2 |  1
404                    |   0   0 |   0 |  0 |   0   0 |   0 |  0
TOTAL clair 88 | TOTAL sombre 108
