ecran | fichier | axe clair | axe sombre | focusables | focus sans indicateur | boutons ecrits main sans anneau DS | role=row (sans role=table) | onClick non focalisable | champs bruts | h1
404 | features/misc/NotFoundPage.tsx | 0 | 0 | 0 | 0 | 0 | 0/0 | 0 | 0 | 1
login | features/auth/LoginPage.tsx | 1 | 1 | 7 | 0 | 0 | 0/0 | 0 | 1 | 1
2fa | features/auth/TwoFactorPage.tsx | 0 | 0 | 2 | 0 | 0 | 0/0 | 0 | 1 | 0
magic-link | features/auth/MagicLinkPage.tsx | 0 | 0 | 2 | 0 | 0 | 0/0 | 0 | 0 | 0
password-reset | features/auth/PasswordResetPage.tsx | 0 | 0 | 2 | 0 | 0 | 0/0 | 0 | 0 | 0
dashboard | features/dashboard/DashboardPage.tsx | 2 | 4 | 21 | 0 | 0 | 0/0 | 0 | 0 | 0
companies | features/companies/CompaniesListPage.tsx | 1 | 3 | 45 | 0 | 1 | 1/0 | 0 | 7 | 0
companies-$id | features/companies/CompanyDetailPage.tsx | 1 | 3 | 22 | 0 | 0 | 0/0 | 0 | 0 | 1
contacts | features/contacts/ContactsListPage.tsx | 1 | 3 | 25 | 0 | 0 | 2/0 | 0 | 3 | 0
roumanie | features/international/RoumaniePage.tsx | 1 | 3 | 34 | 0 | 4 | 0/0 | 0 | 0 | 0
media | features/media/MediaListPage.tsx | 1 | 4 | 30 | 0 | 0 | 0/0 | 0 | 2 | 0
media-$id | features/media/MediaDetailPage.tsx | 1 | 0 | 21 | 0 | 0 | 0/0 | 0 | 0 | 1
journalists | features/media/JournalistsListPage.tsx | 1 | 4 | 23 | 0 | 0 | 0/0 | 0 | 0 | 0
coverage | features/coverage/CoveragePage.tsx | 1 | 7 | 28 | 0 | 5 | 0/0 | 0 | 0 | 1
scraper-runs | features/scraping/ScraperRunsPage.tsx | 2 | 3 | 28 | 0 | 0 | 0/0 | 1 | 0 | 0
llm-router | features/llm/LlmRouterPage.tsx | 1 | 3 | 28 | 0 | 0 | 2/0 | 0 | 0 | 0
llm-proxy-providers | features/llm/ProxyProvidersPage.tsx | 1 | 3 | 24 | 0 | 0 | 2/0 | 0 | 0 | 0
llm-rotations | features/llm/RotationsPage.tsx | 1 | 3 | 24 | 0 | 0 | 2/0 | 0 | 0 | 0
rgpd-requests | features/rgpd/RgpdRequestsPage.tsx | 1 | 3 | 28 | 0 | 0 | 2/0 | 0 | 2 | 0
rgpd-ai-act | features/rgpd/AiActRegisterPage.tsx | 1 | 3 | 21 | 0 | 1 | 2/0 | 0 | 0 | 0
audit-logs | features/rgpd/AuditLogsPage.tsx | 1 | 3 | 23 | 0 | 1 | 2/0 | 0 | 0 | 0
users | features/users/UsersPage.tsx | 1 | 3 | 24 | 0 | 0 | 2/0 | 0 | 1 | 0
settings | features/settings/SettingsPage.tsx | 1 | 4 | 27 | 0 | 2 | 0/0 | 0 | 0 | 0
campaigns | features/campaigns/CampaignsListPage.tsx | 2 | 3 | 29 | 0 | 0 | 0/0 | 0 | 0 | 0
campaigns-new | features/campaigns/CampaignWizardPage.tsx | 1 | 3 | 28 | 0 | 4 | 0/0 | 0 | 3 | 0
campaigns-$id | features/campaigns/CampaignDetailPage.tsx | 1 | 3 | 22 | 0 | 0 | 0/0 | 0 | 0 | 0
tags | features/tags/TagsManagerPage.tsx | 1 | 3 | 24 | 0 | 0 | 0/0 | 0 | 3 | 0
audiences | features/audiences/AudiencesListPage.tsx | 1 | 3 | 20 | 0 | 0 | 0/0 | 0 | 0 | 0
audiences-new | features/audiences/AudienceBuilderPage.tsx | 53 | 5 | 68 | 0 | 1 | 0/0 | 0 | 3 | 0
audiences-$id | features/audiences/AudienceDetailPage.tsx | 1 | 3 | 19 | 0 | 0 | 0/0 | 0 | 0 | 0
admin-observability | features/observability/ObservabilityPage.tsx | 1 | 3 | 19 | 0 | 0 | 0/0 | 0 | 0 | 0
console-contacts | features/crm-console/ContactsHubPage.tsx | 1 | 4 | 18 | 0 | 0 | 0/0 | 0 | 0 | 0
console-vivier | features/crm-console/CandidatesPage.tsx | 1 | 4 | 18 | 0 | 0 | 0/0 | 0 | 0 | 0
console-arbitrage | features/crm-console/ArbitragePage.tsx | 1 | 4 | 18 | 0 | 0 | 0/0 | 0 | 0 | 0
console-personnes-$k | features/crm-console/PersonTimelinePage.tsx | 1 | 4 | 18 | 0 | 0 | 0/0 | 0 | 0 | 0
cold-email | features/phase2-scaffold/ColdEmailStub.tsx | 1 | 3 | 18 | 0 | 0 | 0/0 | 0 | 0 | 0
linkedin | features/phase2-scaffold/LinkedInStub.tsx | 1 | 3 | 18 | 0 | 0 | 0/0 | 0 | 0 | 0
