         table_name         |         column_name          |        data_type         | prec |            defaut             
----------------------------+------------------------------+--------------------------+------+-------------------------------
 activities                 | created_at                   | timestamp with time zone | 6    | now()
 activities                 | done_at                      | timestamp with time zone | 6    | (aucun)
 activities                 | due_at                       | timestamp with time zone | 6    | (aucun)
 activities                 | occurred_at                  | timestamp with time zone | 6    | (aucun)
 ai_act_register            | created_at                   | timestamp with time zone | 6    | now()
 ai_act_register            | updated_at                   | timestamp with time zone | 6    | now()
 analytics_attribution      | occurred_at                  | timestamp with time zone | 6    | (aucun)
 analytics_cohorts          | cohort_period                | date                     | 0    | (aucun)
 analytics_daily_rollups    | day                          | date                     | 0    | (aucun)
 analytics_funnel_snapshots | snapshot_date                | date                     | 0    | (aucun)
 analytics_funnels          | created_at                   | timestamp with time zone | 6    | now()
 analytics_kpis             | computed_at                  | timestamp with time zone | 6    | now()
 audience_members           | added_at                     | timestamp with time zone | 6    | now()
 audit_logs                 | created_at                   | timestamp with time zone | 6    | now()
 audit_logs_default         | created_at                   | timestamp with time zone | 6    | now()
 audit_logs_p20260201       | created_at                   | timestamp with time zone | 6    | now()
 audit_logs_p20260301       | created_at                   | timestamp with time zone | 6    | now()
 audit_logs_p20260401       | created_at                   | timestamp with time zone | 6    | now()
 audit_logs_p20260501       | created_at                   | timestamp with time zone | 6    | now()
 audit_logs_p20260601       | created_at                   | timestamp with time zone | 6    | now()
 audit_logs_p20260701       | created_at                   | timestamp with time zone | 6    | now()
 audit_logs_p20260801       | created_at                   | timestamp with time zone | 6    | now()
 audit_logs_p20260901       | created_at                   | timestamp with time zone | 6    | now()
 audit_logs_p20261001       | created_at                   | timestamp with time zone | 6    | now()
 audit_logs_p20261101       | created_at                   | timestamp with time zone | 6    | now()
 audit_logs_p20261201       | created_at                   | timestamp with time zone | 6    | now()
 audit_logs_p20270101       | created_at                   | timestamp with time zone | 6    | now()
 audit_logs_p20270201       | created_at                   | timestamp with time zone | 6    | now()
 business_events            | created_at                   | timestamp with time zone | 6    | now()
 campaigns                  | created_at                   | timestamp with time zone | 6    | now()
 campaigns                  | deleted_at                   | timestamp with time zone | 6    | (aucun)
 campaigns                  | updated_at                   | timestamp with time zone | 6    | now()
 candidate_tag              | assigned_at                  | timestamp with time zone | 6    | now()
 candidates                 | anonymized_at                | timestamp with time zone | 6    | (aucun)
 candidates                 | consent_at                   | timestamp with time zone | 6    | (aucun)
 candidates                 | consent_vivier_at            | timestamp with time zone | 6    | (aucun)
 candidates                 | created_at                   | timestamp with time zone | 6    | now()
 candidates                 | deleted_at                   | timestamp with time zone | 6    | (aucun)
 candidates                 | derniere_interaction_at      | timestamp with time zone | 6    | (aucun)
 candidates                 | opt_out_at                   | timestamp with time zone | 6    | (aucun)
 candidates                 | updated_at                   | timestamp with time zone | 6    | now()
 candidates                 | vivier_info_sent_at          | timestamp with time zone | 6    | (aucun)
 cities                     | created_at                   | timestamp with time zone | 6    | now()
 companies                  | consent_at                   | timestamp with time zone | 6    | (aucun)
 companies                  | created_at                   | timestamp with time zone | 6    | now()
 companies                  | deleted_at                   | timestamp with time zone | 6    | (aucun)
